code,areaName,cx,cy,country,region,Constituency,LA,MSOA,TTWA2011,d_N/A,d_2less,d_2_5,d_5_10,d_10_20,d_20_30,d_30_40,d_40_60,d_60plus,d_home,d_offshore
E07000145,Great Yarmouth,647815,311075,E92000001,E12000006,E14000717,,,,58609,6941,6238,3835,3411,2592,1744,1205,942,6813,7418
E07000146,Kings Lynn and West Norfolk,566910,317216,E92000001,E12000006,E14000952,,,,85102,8613,7801,6107,9400,4454,2300,2292,1951,14162,12143
E07000148,Norwich,622020,308886,E92000001,E12000006,E14000864,,,,78202,11212,13127,5567,2713,1810,1426,476,1229,19468,8692
E07000149,South Norfolk,622377,295780,E92000001,E12000006,E14000816,,,,74199,4999,4759,8486,9656,4064,2013,1081,1020,21339,10331
E07000163,Craven,388715,464893,E92000001,E12000003,E14000928,,,,29795,3619,1414,2636,2649,1641,984,714,538,8833,4106
E07000164,Hambleton,444420,488149,E92000001,E12000003,E14000895,,,,47286,5507,2039,3020,6197,3045,1802,1491,917,13303,6083
E07000165,Harrogate,426573,463534,E92000001,E12000003,E14000730,,,,82982,11092,8891,5610,8137,4021,1741,922,1210,28233,9828
E07000166,Richmondshire,404370,496225,E92000001,E12000003,E14000895,,,,25097,3485,2570,1907,2774,1217,805,645,819,6700,3757
E06000007,Warrington,362665,389223,E92000001,E12000002,E14001017,,,,107783,10064,17211,12283,9141,5962,1759,505,952,32647,12667
E06000008,Blackburn with Darwen,369254,421850,E92000001,E12000002,E14000570,,,,91181,11599,12471,6232,7746,2238,1191,475,551,12388,8667
E06000009,Blackpool,331921,436188,E92000001,E12000002,E14000572,,,,81674,11208,13447,6795,2456,1705,539,497,828,12013,9874
E06000010,Kingston upon Hull,509765,430588,E92000001,E12000003,E14000771,,,,149222,17927,32635,21377,6446,2763,1549,1470,1901,15534,16187
E06000013,North Lincolnshire,493268,411782,E92000001,E12000003,E14000596,,,,93457,10651,13554,8429,9924,4503,2521,1411,1256,13277,10697
E06000016,Leicester,459135,304861,E92000001,E12000004,E14000782,,,,213637,29065,36598,18539,9819,5286,3555,1818,2399,29530,18325
E06000022,Bath and North East Somerset,367057,162001,E92000001,E12000009,E14000547,,,,103597,11461,9827,6889,10850,2385,480,600,1154,34611,11555
E06000025,South Gloucestershire,367431,183263,E92000001,E12000009,E14000702,,,,142812,14084,15483,22949,15231,2614,1205,1273,1464,52349,20958
E06000030,Swindon,417817,185857,E92000001,E12000009,E14000851,,,,115544,13011,22630,15402,4584,3227,1882,2920,2189,36022,16002
E06000033,Southend-on-Sea,589363,185610,E92000001,E12000006,E14000899,,,,97427,12254,11712,6508,3882,2400,1220,3401,1084,27823,12975
E06000034,Thurrock,564863,181237,E92000001,E12000006,E14000933,,,,90052,7684,10781,8784,10527,6274,3334,887,743,21081,15856
E06000046,Isle of Wight,449779,86461,E92000001,E12000008,E14000762,,,,82549,10045,5472,8772,8456,810,215,479,782,12922,9957
E06000049,Cheshire East,376729,364874,E92000001,E12000002,E14000646,,,,206285,22189,18936,18057,23236,9793,4943,2766,2257,67827,22483
E06000052,Cornwall,199168,59975,E92000001,E12000009,E14000616,,,,316058,33604,22542,23409,32388,13148,6075,6157,8463,62832,45627
E07000011,Huntingdonshire,521228,276573,E92000001,E12000006,E14000757,,,,89441,9964,6300,6948,10982,6581,2695,1762,2057,31900,12202
E07000039,South Derbyshire,429750,326002,E92000001,E12000004,E14000935,,,,53302,4480,5078,8835,7825,2510,1634,1164,744,14903,6732
E07000040,East Devon,313793,96775,E92000001,E12000009,E14000623,,,,84101,7615,4981,6794,9873,3355,1484,678,1382,19757,10808
E07000044,South Hams,270440,54205,E92000001,E12000009,E14000950,,,,48043,3936,2710,3802,5273,2097,1011,516,635,13451,7153
E07000064,Rother,578409,119997,E92000001,E12000008,E14000557,,,,55176,3600,2554,4167,4291,1573,743,612,838,12306,7250
E07000065,Wealden,554434,120966,E92000001,E12000008,E14001023,,,,85608,5622,4654,6546,9438,4818,1783,1329,1018,26043,13290
E07000066,Basildon,570901,190821,E92000001,E12000006,E14000544,,,,98560,8912,9992,8179,8729,3633,3501,2303,703,27225,15835
E07000073,Harlow,545614,209915,E92000001,E12000006,E14000729,,,,47347,6444,8138,3505,4564,2928,1687,381,279,9631,8426
E07000078,Cheltenham,395079,221973,E92000001,E12000009,E14000630,,,,59679,10013,8993,3363,3833,1626,667,761,943,21711,7246
E07000081,Gloucester,383531,216834,E92000001,E12000009,E14000712,,,,66795,10422,12041,7513,6400,1226,527,1212,878,15908,9492
E07000083,Tewkesbury,394038,227458,E92000001,E12000009,E14000705,,,,48360,4236,4690,6900,5553,1486,604,743,717,15532,6063
E07000090,Havant,471226,104842,E92000001,E12000008,E14000736,,,,67840,5906,7283,7894,6391,1521,687,623,875,14413,10775
E07000103,Watford,510556,197803,E92000001,E12000006,E14001021,,,,49387,7829,5725,3948,4570,3336,572,323,327,17899,8330
E07000112,Folkestone and Hythe,610024,132599,E92000001,E12000008,E14000704,,,,61939,6157,4587,3275,5644,2947,739,924,1391,13770,8380
E07000119,Fylde,339324,432384,E92000001,E12000002,E14000706,,,,45658,4000,3821,4912,4147,1053,586,533,517,11361,4786
E07000120,Hyndburn,374414,429238,E92000001,E12000002,E14000758,,,,46607,4846,5984,6600,3675,1450,560,360,301,6309,5542
E07000124,Ribble Valley,370849,445761,E92000001,E12000002,E14000894,,,,31176,3181,2210,3776,5008,1578,931,636,297,9005,3765
E07000136,Boston,532926,343714,E92000001,E12000004,E14000582,,,,36871,6152,4610,3463,4954,3263,717,907,647,3558,5360
E07000142,West Lindsey,501339,389522,E92000001,E12000004,E14000707,,,,53017,4416,2628,4282,5913,3978,1550,1038,876,10950,6505
E07000147,North Norfolk,613546,332832,E92000001,E12000006,E14000603,,,,61321,5157,2148,3720,5574,3321,1897,739,848,10106,8149
E07000167,Ryedale,475009,480011,E92000001,E12000003,E14000993,,,,28746,3480,1556,1767,3407,2016,962,650,547,7609,3967
E07000169,Selby,457071,432688,E92000001,E12000003,E14000917,,,,45864,4017,2567,3769,7232,4514,1776,957,793,14331,6171
E07000170,Ashfield,449768,355201,E92000001,E12000004,E14000535,,,,67870,7139,9309,9679,7595,2454,785,492,787,11460,8731
E07000171,Bassetlaw,469431,382275,E92000001,E12000004,E14000546,,,,62889,7640,6616,5211,8441,4629,1743,1051,956,10741,7890
E07000172,Broxtowe,449657,342283,E92000001,E12000004,E14000535,,,,59024,4631,7023,8234,5545,1078,549,317,755,17302,6482
E07000173,Gedling,459166,348277,E92000001,E12000004,E14000710,,,,61076,4758,8124,9746,4600,1792,548,403,594,17220,8401
E07000175,Newark and Sherwood,472378,359080,E92000001,E12000004,E14000829,,,,65842,6915,6285,4528,7895,4713,1671,920,964,14786,8437
E07000176,Rushcliffe,464834,334124,E92000001,E12000004,E14000908,,,,62099,3431,4782,6597,6558,2399,945,480,869,24680,6235
E07000177,Cherwell,449860,229130,E92000001,E12000008,E14000539,,,,76044,12865,8561,5691,8658,5510,2539,1460,1593,27343,10752
E07000178,Oxford,452441,206500,E92000001,E12000008,E14000874,,,,88714,12938,14198,4222,3184,923,920,581,1357,28427,6578
E07000179,South Oxfordshire,464397,193175,E92000001,E12000008,E14000742,,,,72609,6909,4417,6642,8572,3974,1377,1104,1065,32709,9707
E07000180,Vale of White Horse,438787,192976,E92000001,E12000008,E14001015,,,,68049,5900,4917,7513,8118,3734,1191,692,965,29239,8595
E07000181,West Oxfordshire,434067,215553,E92000001,E12000008,E14001046,,,,55311,7316,2897,6157,7387,3571,1028,551,966,20629,8424
E07000187,Mendip,362056,144991,E92000001,E12000009,E14000932,,,,60418,7574,3792,5108,6876,3387,1514,625,700,17105,8990
E07000188,Sedgemoor,333465,143276,E92000001,E12000009,E14001026,,,,66196,8623,6970,4611,9340,2894,1503,1212,838,13532,9624
E07000189,South Somerset,350246,121192,E92000001,E12000009,E14000932,,,,91740,12812,7642,7582,10663,4867,1884,1475,1441,20337,12228
E07000192,Cannock Chase,401418,312745,E92000001,E12000005,E14000618,,,,51642,5534,6005,5248,8416,3239,1069,474,517,9529,8846
E07000193,East Staffordshire,412763,329519,E92000001,E12000005,E14000610,,,,64701,9355,8494,5984,7604,3595,1567,1047,731,13235,7706
E07000194,Lichfield,413297,310036,E92000001,E12000005,E14000791,,,,55963,4229,3547,5927,7713,3723,974,611,606,15959,7181
E07000195,Newcastle-under-Lyme,378749,344081,E92000001,E12000005,E14000834,,,,66617,6608,10618,8934,5518,1818,608,816,953,13009,7800
E07000196,South Staffordshire,388140,303026,E92000001,E12000005,E14000945,,,,59773,3067,4091,8380,7734,3064,1069,722,609,14069,7894
E07000197,Stafford,388230,327866,E92000001,E12000005,E14000975,,,,71101,7362,7505,6185,8055,4863,1594,1002,1048,19775,8375
E07000199,Tamworth,421984,303220,E92000001,E12000005,E14000986,,,,40489,4736,6865,3197,5210,3039,825,336,458,8238,5254
E07000200,Babergh,599986,243163,E92000001,E12000006,E14000946,,,,49384,4413,2815,3658,5859,3079,1103,677,893,13171,7289
E07000203,Mid Suffolk,611211,265459,E92000001,E12000006,E14000624,,,,52675,3598,2860,4750,7171,4185,1696,1162,853,15527,8222
E07000207,Elmbridge,512060,163238,E92000001,E12000008,E14000697,,,,71774,4145,5395,5673,4922,2850,500,180,320,35983,7013
E07000208,Epsom and Ewell,521188,161461,E92000001,E12000008,E14000694,,,,41029,3385,4010,3867,3399,1479,242,152,170,17930,5275
